                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.2867,                 0.6954,                  1.013,                0.86467,                0.83791,                0.87307,                0.43935,                 1.7178,                0.90701,                 1.2655,             0.00016509,             0.00016509,             0.00016509
                     88,                 1.2773,                0.69466,                 1.0194,                0.88434,                0.84195,                0.87794,                0.44211,                 1.7309,                0.89901,                 1.2792,              0.0001541,              0.0001541,              0.0001541
                     89,                 1.2814,                0.69623,                 1.0157,                0.88508,                0.83892,                0.88188,                0.44368,                 1.7157,                0.89169,                 1.2515,              0.0001431,              0.0001431,              0.0001431
                     90,                 1.2767,                0.70467,                 1.0228,                0.88109,                0.82429,                0.88077,                0.44021,                  1.703,                0.89351,                 1.2495,              0.0001321,              0.0001321,              0.0001321
                     91,                 1.2818,                0.67819,                 1.0321,                0.81812,                0.85397,                0.86206,                0.42617,                 1.7578,                0.95692,                 1.2868,              0.0001211,              0.0001211,              0.0001211
                     92,                 1.2232,                0.63799,                0.99785,                0.84571,                0.83657,                0.87642,                0.43292,                 1.7418,                0.91219,                 1.2864,              0.0001101,              0.0001101,              0.0001101
                     93,                 1.2335,                0.65402,                 1.0015,                0.86911,                0.81112,                0.86599,                0.43287,                 1.7247,                 0.9204,                 1.2723,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                 1.2106,                0.62388,                 1.0055,                0.85982,                0.83645,                 0.8858,                0.43906,                 1.7169,                0.91025,                 1.2671,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                 1.2154,                0.62972,                0.99262,                0.88432,                0.82495,                0.88685,                0.44627,                 1.7167,                0.90292,                  1.268,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                  1.217,                0.61716,                 1.0104,                0.86245,                0.83932,                 0.8815,                0.43677,                 1.7193,                 0.9019,                 1.2651,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                 1.1986,                0.60981,                 1.0071,                0.87246,                0.84721,                0.88507,                0.44738,                 1.7243,                0.90084,                 1.2704,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                 1.2481,                0.69201,                0.99307,                0.86644,                0.85653,                0.88489,                0.44073,                 1.7221,                 0.9048,                 1.2694,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                 1.2101,                0.61422,                0.99734,                0.86991,                0.86742,                0.88671,                0.44231,                 1.7228,                0.90872,                 1.2689,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                 1.1721,                0.60145,                0.98712,                0.86807,                  0.864,                0.88687,                0.44079,                 1.7288,                0.91158,                  1.272,             2.2109e-05,             2.2109e-05,             2.2109e-05
